"表章項目","都道府県","/時間軸(年次)","2021年","2020年","2019年","2018年","2017年","2016年","2015年","2014年","2013年","2010年","2005年","2000年","1995年","1990年","1985年","1980年","1975年","1970年","1965年","1960年","1955年","1950年","1947年","1935年"
"出生率【人口千対】","岡山県","","7.1","7.3","7.3","7.7","7.9","8.2","8.2","8.3","8.5","8.7","8.6","9.8","9.6","10.0","11.9","13.1","16.7","16.9","15.5","15.2","16.9","24.3","33.0","28.9"
"出生率【人口千対】","広島県","","6.8","7.1","7.3","7.7","7.9","8.1","8.4","8.5","8.8","9.0","8.7","9.6","9.7","10.2","11.9","13.7","17.8","18.4","17.1","15.8","17.5","25.4","33.7","29.6"
"出生率【人口千対】","山口県","","6.1","6.2","6.5","6.6","6.9","7.1","7.4","7.3","7.6","8.0","7.8","8.7","8.6","8.8","11.1","12.6","15.5","16.4","15.9","15.6","17.9","27.8","33.3","28.8"
"出生率【人口千対】","徳島県","","6.1","6.3","6.3","6.8","7.0","7.2","7.4","7.2","7.4","7.6","7.3","8.8","9.0","9.6","11.7","12.8","14.9","15.0","15.5","15.7","20.5","29.0","37.0","33.5"
"出生率【人口千対】","香川県","","6.7","6.6","7.0","7.2","7.7","7.8","8.0","8.0","8.2","8.5","8.6","9.6","9.1","9.4","11.1","13.0","16.2","16.0","15.2","14.7","17.6","26.0","37.4","32.7"
"出生率【人口千対】","愛媛県","","6.1","6.1","6.4","7.0","7.1","7.3","7.4","7.5","7.7","8.0","7.9","8.9","9.2","9.7","11.5","13.1","15.9","16.2","16.9","16.7","19.9","29.9","36.3","32.9"
"出生率【人口千対】","高知県","","6.0","5.9","6.2","6.5","6.8","6.7","7.0","6.8","7.1","7.2","7.5","8.4","8.5","8.7","11.1","11.3","14.6","15.1","14.8","14.8","18.2","26.4","33.8","29.2"
"出生率【人口千対】","福岡県","","7.4","7.7","7.9","8.3","8.6","8.7","9.0","9.0","9.1","9.3","8.7","9.5","9.6","10.1","12.4","14.2","16.7","17.4","17.4","16.8","19.8","30.9","34.1","30.3"
"出生率【人口千対】","佐賀県","","7.3","7.5","7.7","8.0","8.2","8.3","8.5","8.6","8.7","9.0","8.7","10.0","9.9","10.9","13.1","14.4","15.6","15.8","16.6","18.3","22.9","31.7","34.8","33.6"
"出生率【人口千対】","長崎県","","6.9","7.0","7.3","7.6","7.8","8.0","8.0","8.2","8.3","8.5","8.2","9.3","9.6","10.6","12.7","14.0","16.3","17.1","18.4","20.7","24.7","33.2","34.6","31.9"
"出生率【人口千対】","熊本県","","7.4","7.6","7.7","8.2","8.4","8.4","8.8","8.7","8.9","9.0","8.5","9.3","9.6","10.3","12.6","13.7","14.9","14.8","16.3","17.8","22.2","30.3","34.7","31.3"
"出生率【人口千対】","大分県","","6.6","6.8","6.8","7.2","7.6","7.9","7.9","8.0","8.2","8.5","8.1","9.0","9.1","9.4","11.6","13.3","15.4","15.3","15.6","16.2","20.7","29.3","34.3","32.9"
"出生率【人口千対】","宮崎県","","7.2","7.3","7.6","7.9","8.1","8.2","8.4","8.6","8.8","9.0","8.5","9.5","10.0","10.4","12.9","14.8","16.7","16.2","17.1","19.3","23.5","32.4","37.7","34.5"
"出生率【人口千対】","鹿児島県","","7.4","7.4","7.5","8.1","8.2","8.4","8.6","8.6","8.7","8.9","8.5","9.1","9.3","10.5","12.7","13.8","14.3","14.1","15.8","19.3","24.5","30.5","33.7","32.9"
"出生率【人口千対】","沖縄県","","10.0","10.3","10.4","11.0","11.3","11.6","11.9","11.6","12.2","12.3","11.9","12.8","13.2","14.0","17.6","18.4","21.6","…","…","…","…","…","…","27.7"
